"callerPrefix","calleePrefix"
"practices/clean_engineering/model/drawio","practices/agent_bdd"
"practices/clean_engineering/model/drawio","practices/ux/model/markdown"
"practices/clean_engineering/model/drawio","builders/create_context_tool"
"practices/clean_engineering/model/drawio","tools/workflow"
"practices/clean_engineering/model/drawio","practices/bdd"
"practices/clean_engineering/model/drawio","builders/create_agent_toolset"
"practices/clean_engineering/model/drawio","practices/ddd"
"practices/clean_engineering/model/drawio","tools/prompt_echo"
"practices/clean_engineering/model/drawio","tools/handoff"
"practices/clean_engineering/model/drawio","practices/ux/model/html"
"practices/clean_engineering/model/drawio","practices/ux/model/json"
"practices/clean_engineering/model/drawio","tools/plan"
"practices/agent_bdd","actions"
"practices/agent_bdd","harness"
"practices/agent_bdd","practices"
"practices/agent_bdd","installation"
"practices/agent_bdd","harness/hooks"
"practices/agent_bdd","actions/sketch"
"practices/agent_bdd","harness/agent_tools"
"practices/agent_bdd","harness/markdown"
"practices/agent_bdd","harness/knowledge_graph"
"practices/agent_bdd","harness/mcp"
"practices/agent_bdd","practices/stories"
"practices/agent_bdd","practices/clean_engineering/model"
"practices/agent_bdd","practices/clean_engineering"
"practices/agent_bdd","tools/git"
"practices/agent_bdd","tools/context_setup"
"practices/agent_bdd","tools/workspace"
"practices/agent_bdd","actions/partition"
"practices/agent_bdd","practices/ux/model/drawio"
"practices/agent_bdd","practices/ux/model"
"practices/agent_bdd","practices/ux"
"practices/agent_bdd","tools/catalog_generator"
"practices/agent_bdd","practices/clean_engineering/model/drawio"
"practices/agent_bdd","practices/ux/model/markdown"
"practices/agent_bdd","builders/create_context_tool"
"practices/agent_bdd","tools/workflow"
"practices/agent_bdd","practices/bdd"
"practices/agent_bdd","builders/create_agent_toolset"
"practices/agent_bdd","practices/ddd"
"practices/agent_bdd","tools/prompt_echo"
"practices/agent_bdd","tools/diagnose"
"practices/agent_bdd","tools/handoff"
"practices/agent_bdd","practices/ux/model/html"
"practices/agent_bdd","practices/ux/model/json"
"practices/agent_bdd","tools/plan"
"practices/ux/model/markdown","harness/knowledge_graph"
"practices/ux/model/markdown","practices/stories"
"practices/ux/model/markdown","practices/clean_engineering/model"
"practices/ux/model/markdown","tools/workspace"
"practices/ux/model/markdown","practices/ux/model/drawio"
"practices/ux/model/markdown","practices/ux/model"
"practices/ux/model/markdown","tools/catalog_generator"
"practices/ux/model/markdown","practices/clean_engineering/model/drawio"
"practices/ux/model/markdown","practices/agent_bdd"
"practices/ux/model/markdown","tools/workflow"
"practices/ux/model/markdown","practices/ux/model/html"
"practices/ux/model/markdown","practices/ux/model/json"
"practices/ux/model/markdown","tools/plan"
"actions/iterate","actions"
"actions/iterate","harness"
"actions/iterate","practices"
"actions/iterate","actions/grill_context"
"actions/iterate","harness/hooks"
"actions/iterate","actions/sketch"
"actions/iterate","harness/agent_tools"
"actions/iterate","harness/knowledge_graph"
"actions/iterate","harness/mcp"
"actions/iterate","practices/stories"
"actions/iterate","practices/clean_engineering"
"actions/iterate","practices/agent_bdd"
"actions/iterate","practices/ddd"
"actions/iterate","tools/prompt_echo"
"actions/iterate","tools/plan"
"builders/create_context_tool","actions"
"builders/create_context_tool","harness"
"builders/create_context_tool","practices"
"builders/create_context_tool","installation"
"builders/create_context_tool","harness/hooks"
"builders/create_context_tool","actions/sketch"
"builders/create_context_tool","harness/agent_tools"
"builders/create_context_tool","harness/markdown"
"builders/create_context_tool","harness/knowledge_graph"
"builders/create_context_tool","harness/mcp"
"builders/create_context_tool","practices/stories"
"builders/create_context_tool","practices/clean_engineering/model"
"builders/create_context_tool","practices/clean_engineering"
"builders/create_context_tool","tools/git"
"builders/create_context_tool","tools/context_setup"
"builders/create_context_tool","tools/workspace"
"builders/create_context_tool","actions/partition"
"builders/create_context_tool","practices/ux/model"
"builders/create_context_tool","practices/ux"
"builders/create_context_tool","tools/catalog_generator"
